"dataset","freq","freq_label","unit","unit_label","hazard","hazard_label","nace_r2","nace_r2_label","waste","waste_label","geo","geo_label","time","time_label","value"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LV","Latvia","2022","2022","373596"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LT","Lithuania","2010","2010","388150"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LT","Lithuania","2012","2012","564841"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LT","Lithuania","2014","2014","647663"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LT","Lithuania","2016","2016","799360"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LT","Lithuania","2018","2018","797550"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LT","Lithuania","2020","2020","737882"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LT","Lithuania","2022","2022","770924"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LU","Luxembourg","2010","2010","584533"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LU","Luxembourg","2012","2012","558051"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LU","Luxembourg","2014","2014","543775"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LU","Luxembourg","2016","2016","700106"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LU","Luxembourg","2018","2018","638666"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LU","Luxembourg","2020","2020","743699"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LU","Luxembourg","2022","2022","1434980"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","HU","Hungary","2010","2010","3449229"
