iso2,country,year,factor_tco2e_per_mwh,factor_kgco2e_per_kwh,factor_scope,source_dataset,source_sheet,source_url,source_doi
CZ,Czechia,1993,1.12366586189676,1.12366586189676,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
DE,Germany,1993,0.763912274084727,0.763912274084727,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
DK,Denmark,1993,0.703406455288927,0.703406455288927,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
EE,Estonia,1993,2.23054863228746,2.23054863228746,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
EL,Greece,1993,1.25099264202923,1.25099264202923,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
ES,Spain,1993,0.581517721296027,0.581517721296027,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
FI,Finland,1993,0.223737750359454,0.223737750359454,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
FR,France,1993,0.100315432451705,0.100315432451705,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
HR,Croatia,1993,0.37841645614739,0.37841645614739,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
HU,Hungary,1993,0.850942976894144,0.850942976894144,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
IE,Ireland,1993,1.03335805445288,1.03335805445288,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
IT,Italy,1993,0.651693163071031,0.651693163071031,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
LT,Lithuania,1993,0.259082067387207,0.259082067387207,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
LU,Luxembourg,1993,0.887375634957752,0.887375634957752,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
LV,Latvia,1993,0.589394252728957,0.589394252728957,life-cycle GHG,JRC CoM Emission factors for national electricity 2024,Table3_EU_LC,https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641,10.2905/JRC.4800KC0
